code,name,sourceCategory,reason,sourceUrl
9059,Sodium chloride 0.9% 100ml A20,Infuzione,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9060,Sodium chloride 0.9% 500ml A20,Infuzione,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9063,Sodium Chloride 0.9% 500ml A20,Infuzione,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
1779,Sodium  Chloride Intravenous BP 0.9% 250ml (A28),Infuzione,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
5274,Dextrose 5% 500ml A20,Infuzione,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9068,Ringerov Rastvor HF 500ML A20,Infuzione,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
5277,Dextrose 10% glucose A20,Infuzione,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
5287,Dextrose 5% 100ml  A20 (DEMO),Infuzione,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9746,Belogent mast 15g,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9755,Belogent krem 15g,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9754,Beloderm mast 15g,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9749,Beloderm krem 15g,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9757,Belosalic mast 30g,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9748,Belosalic losion 50ml,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9855,Sona krem (adaptalene) 30gr,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9856,Sona Duo 1mg/g + 25mg/g Gel,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9857,Neofen Plus 50mg/g gel 50g,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9853,Rojazol krem (mikonazol) 30gr,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
7694,Sona adapalen gel 1mg/30g,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
7691,Apsoria cream skin solutions 50ml,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
7693,Alba cream skin solutions 50ml,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
7690,Askar gel skin solutions 15ml,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
7692,Apsoria emulsion skin solutions 100ml,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
7689,Amofin sherues per thonje 50mg/2.5ml,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9765,Iruzid 10/12.5mg 30 tab,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9752,Iruzid 20/12.5mg 30 tab,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9759,Iruzid 20/25mg 30 tab,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9750,Calixta 30mg 30 tab,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9758,Calixta 15mg 30 tab,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9751,Indometacin 25mg 30 caps,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9756,Eritromicin 250mg 16 caps,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9764,Pinox 10mg 28 tab,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9766,Nibel 5mg 28 tab,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9858,Rosix Combi 10mg/10mg tab,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9850,Rosix Duo 10mg/100mg,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9824,Rosix duo 20/100mg x 30 caps,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9823,Rosix combi 20mg/10mg x 30 tab,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9820,Katena 300mg x 50 caps,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9807,Katena 100mg x 20 caps,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9821,Zaracet 75mg/650mg 30 tab,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9827,Q - pin 25mg x 60 tab,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9802,Citram 10mg x 28 tab,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9804,Zaracet 37.5mg/325mg x 10 tab,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9808,Rojazol 200mg 7 vagitorija,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9805,Silymarin 100mg x 30 caps,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9801,Neofen neo forte 400mg x 20 tab,Belupo,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9664,Daktanol gel 20mg/g 40g,Galenika,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9665,Sinoderm 0.25mg/g gel 30g,Galenika,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9652,Sinoderm N 0.25mg/g+3.3mg/g mast 15g,Galenika,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9655,Propranolol 40mgx50 tab,Galenika,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
9745,Didermal 0.5mg + 1mg/g mast 15g,Galenika,excluded-category (prescription/clinical pharma line — pending review),https://shemo-katalog.com/
